method,time_mean,time_std,psnr,ssim
bm3dornl (streak),0.0943180116219446,0.0040777090248955905,39.56789445047194,0.9425515679866271
bm3dornl (generic),0.0826333171641454,0.003190992328699088,35.10114389270373,0.9476154899291834
bm3dornl (multiscale),0.3890195003943518,0.004423746754581837,39.731654912369216,0.9758662421565348
Fourier-SVD,0.016792065156623723,0.0008145062120886017,39.63732551531742,0.9512693574381109
TomoPy FW (Münch),0.26057254479732367,0.011333241401881126,20.627519654616076,0.5839516706387443
TomoPy SF (Vo),0.22168089772574603,0.0072916278068833355,42.00531293161503,0.9868279509588278
TomoPy BSD (sort),0.2928350892616436,0.007258034453914969,42.85700569659795,0.9829167671439957
