method,time_mean,time_std,psnr,ssim
bm3dornl (streak),0.2015248466306366,0.013986630919110047,39.568641780566935,0.9423018836657018
bm3dornl (generic),0.1826302450359799,0.007123315815187764,35.10116986090122,0.9476155458750639
bm3dornl (multiscale),0.4190699050761759,0.017465729082174312,39.734069661371215,0.9758668197713675
Fourier-SVD,0.022293962901458145,0.00342088709645626,39.63732551531742,0.9512693574381079
TomoPy FW (Münch),3.562172932133544,0.1953097629652193,20.627519908380965,0.5839516894876905
TomoPy SF (Vo),3.573001813287847,0.2563232651401909,42.00531293161503,0.9868279509588168
TomoPy BSD (sort),3.470817392517347,0.25015402323680513,42.85700569659795,0.9829167671439403
